title,year,genre,plot,poster,rating,trailor
Saving Mr. Wu,2015,"Thriller, Crime, Action, Drama","Mr. Wu, a Hong Kong movie star, is kidnapped in Beijing by Zhang Hua's gang. The police quickly form a task force and begin the search, ignoring that detectives in charge have only twenty hours before the deadline. (A story based on the famous kidnapping case of television actor Wu Rufou that took place in 2004.)",https://image.tmdb.org/t/p/w500//adUIp4YJWkd2F5vqscsEkQtyJa4.jpg,6.2,https://www.youtube.com/embed/Gql0lQf4UPo
Stealing Harvard,2002,"Action, Comedy, Drama, Crime",,https://image.tmdb.org/t/p/w500//fVehnhfOw5rBVikhWvHCVihPyG9.jpg,4.8,https://www.youtube.com/embed/mmJD7_ueDLc
Kantara,2022,"Mystery, Action, Thriller",,https://image.tmdb.org/t/p/w500//jIsKmkxMzdCZ0Ux1GVSnu8m6Na6.jpg,7.427,https://www.youtube.com/embed/None
Alienator,1990,"Action, Science Fiction, Thriller",A space commander sends a female android to Earth to destroy an escaped convict.,https://image.tmdb.org/t/p/w500//3kem76xYVBDp1P8j8et545lwoAH.jpg,3.474,https://www.youtube.com/embed/SeuigfKWKJA
"What's Up, Tiger Lily?",1966,"Action, Comedy","In comic Woody Allen's film debut, he took the Japanese action film ""International Secret Police: Key of Keys"" and re-dubbed it, changing the plot to make it revolve around a secret egg salad recipe.",https://image.tmdb.org/t/p/w500//z3ABDEfhLqX09nXgp6ilKW44jAB.jpg,5.4,https://www.youtube.com/embed/LAcB1G439Mk
Streets of Blood,2009,"Action, Crime, Drama","A police officer's partner has died during Hurricane Katrina, but he later discovers that his partner may have been murdered. An investigation follows, taking the officer and his new partner into the depths of the criminal underworld.",https://image.tmdb.org/t/p/w500//UBLsks7CwsWqYil8PAkzOJauq8.jpg,4.5,https://www.youtube.com/embed/XqoDfs1wZYg
The Cheyenne Social Club,1970,"Action, Comedy, Western","Two cowboys inherit a ""social club"" specializing in satisfying men.",https://image.tmdb.org/t/p/w500//5bRm0ALG9yPO53Y2kKuPPV3irdF.jpg,6.6,https://www.youtube.com/embed/jhV81_Ez_H8
Ghost Recon: Alpha,2012,"Action, Science Fiction, Thriller, War",Ghost Recon: Alpha sees a team led by Ghost Leader infiltrate a trade at a Russian depot between a general and a mysterious other figure.,https://image.tmdb.org/t/p/w500//iCEFcdAYHJFZLJolJcuWbH5xGhn.jpg,7.2,https://www.youtube.com/embed/None
Tracker,2010,"Action, Drama, Thriller, Adventure",,https://image.tmdb.org/t/p/w500//lPPLs4SFP4Pk3SCJbQfhp9vtbL8.jpg,6.634,https://www.youtube.com/embed/H8P7Uk_I7l4
Apache Junction,2021,"Western, Action","Apache Junction is an outpost of lawlessness, a haven for thieves and cold-blooded killers. After big-city reporter Annabelle Angel arrives to write an article on the town, she becomes a target when notorious gunslinger Jericho Ford comes to her aid. Now Annabelle must entrust her future to a man with a deadly past, as Jericho heads toward a tense showdown.",https://image.tmdb.org/t/p/w500//sYkElIUzn9NkVFufpc2oSQlfVsS.jpg,6.429,https://www.youtube.com/embed/ONw_TfBLGmE
Detective Conan: Episode One - The Great Detective Turned Small,2016,"Animation, Action, Adventure","Two-hour remake of the original 1st episode, in celebration of the anime celebrating 20 years in broadcast. The special retells what happened on the day Shinichi was transformed into the body of a child. The special includes new scenes that weren't in the original manga or the first anime episode.",https://image.tmdb.org/t/p/w500//fTm94gNhNUjqImNsHLuwZQvbx9A.jpg,7.733,https://www.youtube.com/embed/None
Heavenly Sword,2014,"Adventure, Action, Animation, Fantasy",,https://image.tmdb.org/t/p/w500//cJFmbMoQvACmYIQ0uUvztPpanJp.jpg,6.631,https://www.youtube.com/embed/oovoY1mG_Z4
Simon Sez,1999,"Action, Comedy, Thriller",A tattooed Interpol agent helps an old classmate find the kidnapped daughter of a computer software tycoon.,https://image.tmdb.org/t/p/w500//uJG7oSRQxacXC2GvzPF2nDoWXIW.jpg,2.8,https://www.youtube.com/embed/0mysvIJPCAk
Road House 2: Last Call,2006,"Adventure, Action, Thriller, Crime","Shane Tanner, the son of a legendary cooler named Dalton, learns that his uncle Nate got beat up by a group of men because he doesn't want to sell his bar, The Black Pelican, to a bunch of drug dealers. To help out his uncle, Shane teams up with local school teacher Beau Hampton, who is a regular at the Black Pelican, and takes down the baddies.",https://image.tmdb.org/t/p/w500//aiLwHT8KfEGMx4YB38UBhAn9pku.jpg,5.8,https://www.youtube.com/embed/N3mBNw9rBQY
Naya Legend of the Golden Dolphin,2023,"Action, Adventure, Animation","The adventure of Naya The Golden Dolphin Princess whose father, the King, sends her on an urgent mission to eight corners of the Earth that are rich and fluid with dolphin energy, to unite the dolphins and save the oceans. Through her global quest, she learns true courage and uses her magical powers to complete her ultimate destiny.",https://movie-web-app.s3.amazonaws.com/static/img/covers/not-available.jpg,0.0,https://www.youtube.com/embed/None
The Five Venoms,1978,Action,"A dying master sends his last student to check up on five former pupils, who each know a special style of kung-fu.",https://image.tmdb.org/t/p/w500//z446TqbbOb7emtN1S8iOrwTHz7Y.jpg,6.7,https://www.youtube.com/embed/3aEl8kyCs-4
